#t [s],	 x [cm],	 K [g/cm^2/s^2],	 A0 [cm^2],	 A [cm^2],	 Q [cm^3/s],	 P [g/cm/s^2],	 gradxP [g/cm^2/s^2],	 U0 [cm/s],	 Tw [g/cm/s^2],	 alpha,	 phi 
 0.00000000000000000000 ,	 0.12500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.37500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.62500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.87500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 1.12500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 1.37500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 1.62500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 1.87500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 2.12500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 2.37500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 2.62500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 2.87500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 3.12500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 3.37500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 3.62500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 3.87500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 4.12500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 4.37500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 4.62500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 4.87500000000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 5.12500000000000000000,	 100000.00000000000000000000,	 3.13772005507180518080,	 3.13772005507180518080,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 5.37500000000000000000,	 100000.00000000000000000000,	 3.10696760590084908316,	 3.10696760590084908316,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 5.62500000000000000000,	 100000.00000000000000000000,	 3.04666498943546493194,	 3.04666498943546493194,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 5.87500000000000000000,	 100000.00000000000000000000,	 2.95914360022182121313,	 2.95914360022182121313,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 6.12500000000000000000,	 100000.00000000000000000000,	 2.84772367318000707570,	 2.84772367318000707570,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 6.37500000000000000000,	 100000.00000000000000000000,	 2.71651847365363829923,	 2.71651847365363829923,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 6.62500000000000000000,	 100000.00000000000000000000,	 2.57019893576894453702,	 2.57019893576894453702,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 6.87500000000000000000,	 100000.00000000000000000000,	 2.41373766911366205434,	 2.41373766911366205434,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 7.12500000000000000000,	 100000.00000000000000000000,	 2.25215243718882662805,	 2.25215243718882662805,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 7.37500000000000000000,	 100000.00000000000000000000,	 2.09026854867095135404,	 2.09026854867095135404,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 7.62500000000000000000,	 100000.00000000000000000000,	 1.93251717667357714170,	 1.93251717667357714170,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 7.87500000000000000000,	 100000.00000000000000000000,	 1.78278268352206992198,	 1.78278268352206992198,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 8.12500000000000000000,	 100000.00000000000000000000,	 1.64430697486169763444,	 1.64430697486169763444,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 8.37500000000000000000,	 100000.00000000000000000000,	 1.51965323821833009355,	 1.51965323821833009355,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 8.62500000000000000000,	 100000.00000000000000000000,	 1.41072569443934336952,	 1.41072569443934336952,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 8.87500000000000000000,	 100000.00000000000000000000,	 1.31883676420406548147,	 1.31883676420406548147,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 9.12500000000000000000,	 100000.00000000000000000000,	 1.24480883126795838223,	 1.24480883126795838223,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 9.37500000000000000000,	 100000.00000000000000000000,	 1.18909497206622938315,	 1.18909497206622938315,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 9.62500000000000000000,	 100000.00000000000000000000,	 1.15190187886530770456,	 1.15190187886530770456,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 9.87500000000000000000,	 100000.00000000000000000000,	 1.13329882506072099346,	 1.13329882506072099346,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 10.12500000000000000000,	 100000.00000000000000000000,	 1.13329882506072099346,	 1.13329882506072099346,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 10.37500000000000000000,	 100000.00000000000000000000,	 1.15190187886530770456,	 1.15190187886530770456,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 10.62500000000000000000,	 100000.00000000000000000000,	 1.18909497206622938315,	 1.18909497206622938315,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 10.87500000000000000000,	 100000.00000000000000000000,	 1.24480883126795838223,	 1.24480883126795838223,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 11.12500000000000000000,	 100000.00000000000000000000,	 1.31883676420406459329,	 1.31883676420406459329,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 11.37500000000000000000,	 100000.00000000000000000000,	 1.41072569443934336952,	 1.41072569443934336952,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 11.62500000000000000000,	 100000.00000000000000000000,	 1.51965323821832964946,	 1.51965323821832964946,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 11.87500000000000000000,	 100000.00000000000000000000,	 1.64430697486169830057,	 1.64430697486169830057,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 12.12500000000000000000,	 100000.00000000000000000000,	 1.78278268352206903380,	 1.78278268352206903380,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
